[2025-11-13 17:26:41] Senha Migrada | Usuário: Sistema | Detalhes: Usuário: admin
[2025-11-13 17:26:41] Senha Migrada | Usuário: Sistema | Detalhes: Usuário: funcionario
[2025-11-13 17:26:41] Senha Migrada | Usuário: Sistema | Detalhes: Usuário: nilton
[2025-11-13 17:26:41] Migração Concluída | Usuário: Sistema | Detalhes: Todas as senhas foram criptografadas
[2025-11-13 17:26:43] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-13 18:16:37] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-13 18:20:51] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-13 18:23:16] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-13 18:24:38] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:01:14] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:04:45] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:06:10] Usuário Excluído | Usuário: Sistema | Detalhes: Usuário: nilton
[2025-11-14 17:06:47] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:18:27] Tentativa de Login Falha | Usuário: funcinorio  | Detalhes: Usuário não existe
[2025-11-14 17:18:41] Tentativa de Login Falha | Usuário: funcionario  | Detalhes: Usuário não existe
[2025-11-14 17:18:54] Tentativa de Login Falha | Usuário: funcionario  | Detalhes: Usuário não existe
[2025-11-14 17:19:14] Login Bem-Sucedido | Usuário: funcionario | Detalhes: 
[2025-11-14 17:20:45] Login Bem-Sucedido | Usuário: funcionario | Detalhes: 
[2025-11-14 17:24:48] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:26:02] Usuário Criado | Usuário: Sistema | Detalhes: Novo funcionario: nilton
[2025-11-14 17:26:19] Login Bem-Sucedido | Usuário: nilton | Detalhes: 
[2025-11-14 17:26:53] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:27:13] Usuário Criado | Usuário: Sistema | Detalhes: Novo funcionario: dudu
[2025-11-14 17:27:31] Login Bem-Sucedido | Usuário: dudu | Detalhes: 
[2025-11-14 17:28:08] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:28:51] Usuário Excluído | Usuário: Sistema | Detalhes: Usuário: nilton
[2025-11-14 17:29:15] Usuário Criado | Usuário: Sistema | Detalhes: Novo funcionario: nilton
[2025-11-14 17:29:32] Login Bem-Sucedido | Usuário: nilton | Detalhes: 
[2025-11-14 17:30:38] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 17:32:35] Usuário Excluído | Usuário: Sistema | Detalhes: Usuário: dudu
[2025-11-14 17:32:41] Usuário Excluído | Usuário: Sistema | Detalhes: Usuário: nilton
[2025-11-14 17:38:07] Tentativa de Login Falha | Usuário: eduardo | Detalhes: Usuário não existe
[2025-11-14 17:38:42] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 20:01:39] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 20:41:43] Usuário Criado | Usuário: Sistema | Detalhes: Novo funcionario: aline
[2025-11-14 20:42:07] Login Bem-Sucedido | Usuário: aline | Detalhes: 
[2025-11-14 20:47:20] Login Bem-Sucedido | Usuário: aline | Detalhes: 
[2025-11-14 20:47:30] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-14 20:48:05] Login Bem-Sucedido | Usuário: aline | Detalhes: 
[2025-11-14 20:49:54] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-17 19:40:20] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-17 20:37:36] Login Bem-Sucedido | Usuário: funcionario | Detalhes: 
[2025-11-17 20:47:23] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-17 21:14:52] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-17 21:16:10] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-17 21:53:48] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-17 21:57:34] Login Bem-Sucedido | Usuário: admin | Detalhes: 
[2025-11-18 01:22:03] Login Bem-Sucedido | Usuário: admin | Detalhes: 
